SalesID,SalePrice
1227829,20636.63
1227844,17404.37
1227847,45763.98
1227848,63071.71
1227863,48128.11
1227870,29346.41
1227871,26252.37
1227879,13576.82
1227880,21465.84
1227881,39451.36
1227882,49048.35
1227883,42859.51
1227885,42439.72
1227886,41418.92
1227887,23801.82
1227888,23716.67
1227905,26170.59
1227910,52990.76
1227911,30031.51
1227912,38491.91
1227913,27649.07
1227914,32287.21
1227917,12510.15
1227918,34829.49
1227920,18891.09
1227924,31326.55
1227925,26604.52
1227930,19382.86
1227933,23509.69
1227942,18543.52
1227949,30316.5
1227972,17185.75
1227976,42153.13
1227977,20100.67
1227979,45560.78
1227980,15981.75
1227988,22476.8
1227990,19060.4
1227991,22003.07
1227992,22335.93
1227994,31962.19
1227997,22505.04
1228007,42251.93
1228012,57577.32
1228019,58901.62
1228031,25160.88
1228040,56470.67
1228042,27257.27
1228046,14916.51
1228049,32636.23
1228050,35167.69
1228056,15879.98
1228061,27772.98
1228065,14743.7
1228069,11883.25
1228071,44855.91
1228072,42733.28
1228075,28057.45
1228076,29933.51
1228089,43439.92
1228104,21816.57
1228105,51862.26
1228107,35655.4
1228113,47171.17
1228117,30665.08
1228119,44506.33
1228122,41129.05
1228123,55083.96
1228124,18680.16
1228129,30293.37
1228130,51946.56
1228131,43208.22
1228134,35116.72
1228135,29976.47
1228136,33313.92
1228142,14672.57
1228145,41314.4
1228149,26033.42
1228150,26847.62
1228152,37446.34
1228153,21980.28
1228155,10585.5
1228156,45069.3
1228157,52143.62
1228158,30863.78
1228160,22256.05
1228161,28170.11
1228168,23223.29
1228179,24771.68
1228182,25913.19
1228183,14397.21
1228188,49548.64
1228192,24563.93
1228195,26920.82
1228197,46662.64
1228198,19362.33
1228200,19306.32
1228203,16391.66
1228214,51922.24
1228217,22449.15
1228219,39828.61
1228222,19843.93
1228225,19203.0
1228228,20096.25
1228229,21302.68
1228231,21239.87
1228236,20438.03
1228237,19257.95
1228238,20864.24
1228244,15995.37
1228245,24860.34
1228247,23046.38
1228248,14274.15
1228253,17305.01
1228254,19273.79
